尝试连接考勤机...
状态更新: ??? ??????
状态更新: ???? ???????
状态更新: ?????
Firmware Version: Ver 6.60 Oct 12 2021
状态更新: ?????
考勤机连接成功！

获取员工信息...
状态更新: ??? ???????
状态更新: ?????
状态更新: ??? ????
状态更新: ??? ??????
状态更新: ???? ???????
状态更新: ?????
Firmware Version: Ver 6.60 Oct 12 2021
状态更新: ?????
员工信息：
  工号: 306190, 姓名: 易兰, 权限: 0, 是否启用: true
  工号: 306191, 姓名: 宋志国, 权限: 0, 是否启用: true
  工号: 306201, 姓名: 王海菊, 权限: 0, 是否启用: true
  工号: 306223, 姓名: 罗晚华, 权限: 0, 是否启用: true
  工号: 306343, 姓名: 易海洋, 权限: 0, 是否启用: true
  工号: 306357, 姓名: 杨晓庆, 权限: 0, 是否启用: true
  工号: 306358, 姓名: 杨锦义, 权限: 0, 是否启用: true
  工号: 306359, 姓名: 宋进城, 权限: 0, 是否启用: true
  工号: 306361, 姓名: 张红艳, 权限: 0, 是否启用: true
  工号: 306362, 姓名: 宋威, 权限: 0, 是否启用: true
  工号: 306365, 姓名: 颜有才, 权限: 0, 是否启用: true
  工号: 306368, 姓名: 李鹏飞, 权限: 0, 是否启用: true
  工号: 306372, 姓名: 王乾龙, 权限: 0, 是否启用: true
  工号: 306373, 姓名: 王贤翠, 权限: 0, 是否启用: true
  工号: 306374, 姓名: 刘启昌, 权限: 0, 是否启用: true
  工号: 306377, 姓名: 王文年, 权限: 0, 是否启用: true
  工号: 306381, 姓名: 赵鸿利, 权限: 0, 是否启用: true
  工号: 306389, 姓名: 罗小祥, 权限: 0, 是否启用: true
  工号: 306393, 姓名: 莫智柳, 权限: 0, 是否启用: true
  工号: 306394, 姓名: 宋志斌, 权限: 0, 是否启用: true
  工号: 306397, 姓名: 胡维林, 权限: 0, 是否启用: true
  工号: 306423, 姓名: 童小宇, 权限: 0, 是否启用: true
  工号: 306400, 姓名: 蔡青松, 权限: 0, 是否启用: true
  工号: 306401, 姓名: 宋倩, 权限: 0, 是否启用: true
  工号: 306402, 姓名: 颜江琼, 权限: 0, 是否启用: true
  工号: 306404, 姓名: 李会军, 权限: 0, 是否启用: true
  工号: 306410, 姓名: 滚往文, 权限: 0, 是否启用: true
  工号: 306424, 姓名: 王晴, 权限: 0, 是否启用: true
  工号: 306425, 姓名: 万家成, 权限: 0, 是否启用: true
  工号: 306416, 姓名: 黄学政, 权限: 0, 是否启用: true
  工号: 306417, 姓名: 玉色镭, 权限: 0, 是否启用: true
  工号: 306418, 姓名: 冯少强, 权限: 0, 是否启用: true
  工号: 306419, 姓名: 肖念, 权限: 0, 是否启用: true
  工号: 306443, 姓名: 罗俊杰, 权限: 0, 是否启用: true
  工号: 306422, 姓名: 王秋菊, 权限: 0, 是否启用: true
  工号: 306428, 姓名: 李梦媛, 权限: 0, 是否启用: true
  工号: 306429, 姓名: 陈家丽, 权限: 0, 是否启用: true
  工号: 306444, 姓名: 罗奥可, 权限: 0, 是否启用: true
  工号: 306445, 姓名: 黄宇豪, 权限: 0, 是否启用: true
  工号: 306435, 姓名: 邱启斯, 权限: 0, 是否启用: true
  工号: 306436, 姓名: 梁富华, 权限: 0, 是否启用: true
  工号: 306439, 姓名: 潘向健, 权限: 0, 是否启用: true
